2026-09-14 19:29:51.532 1714409 DEBUG nova.cmd.compute [-] ******************************************************************************** [00;33m{{(pid=1714409) log_opt_values /opt/stack/data/venv/lib/python3.12/site-packages/oslo_config/cfg.py:3533}}[00m
2026-09-14 19:29:51.532 1714409 DEBUG nova.cmd.compute [-] Configuration options gathered from: [00;33m{{(pid=1714409) log_opt_values /opt/stack/data/venv/lib/python3.12/site-packages/oslo_config/cfg.py:3534}}[00m
2026-09-14 19:29:51.533 1714409 DEBUG nova.cmd.compute [-] command line args: ['--config-file', '/etc/nova/nova-cpu.conf'] [00;33m{{(pid=1714409) log_opt_values /opt/stack/data/venv/lib/python3.12/site-packages/oslo_config/cfg.py:3535}}[00m
2026-09-14 19:29:51.533 1714409 DEBUG nova.cmd.compute [-] config files: ['/etc/nova/nova-cpu.conf'] [00;33m{{(pid=1714409) log_opt_values /opt/stack/data/venv/lib/python3.12/site-packages/oslo_config/cfg.py:3536}}[00m
2026-09-14 19:29:51.533 1714409 DEBUG nova.cmd.compute [-] ================================================================================ [00;33m{{(pid=1714409) log_opt_values /opt/stack/data/venv/lib/python3.12/site-packages/oslo_config/cfg.py:3541}}[00m
2026-09-14 19:29:51.533 1714409 DEBUG nova.cmd.compute [-] allow_resize_to_same_host      = True [00;33m{{(pid=1714409) log_opt_values /opt/stack/data/venv/lib/python3.12/site-packages/oslo_config/cfg.py:3549}}[00m
2026-09-14 19:29:51.533 1714409 DEBUG nova.cmd.compute [-] arq_binding_timeout            = 300 [00;33m{{(pid=1714409) log_opt_values /opt/stack/data/venv/lib/python3.12/site-packages/oslo_config/cfg.py:3549}}[00m
2026-09-14 19:29:51.533 1714409 DEBUG nova.cmd.compute [-] block_device_allocate_retries  = 240 [00;33m{{(pid=1714409) log_opt_values /opt/stack/data/venv/lib/python3.12/site-packages/oslo_config/cfg.py:3549}}[00m
2026-09-14 19:29:51.533 1714409 DEBUG nova.cmd.compute [-] block_device_allocate_retries_interval = 20 [00;33m{{(pid=1714409) log_opt_values /opt/stack/data/venv/lib/python3.12/site-packages/oslo_config/cfg.py:3549}}[00m
2026-09-14 19:29:51.533 1714409 DEBUG nova.cmd.compute [-] cell_worker_thread_pool_size   = 5 [00;33m{{(pid=1714409) log_opt_values /opt/stack/data/venv/lib/python3.12/site-packages/oslo_config/cfg.py:3549}}[00m
2026-09-14 19:29:51.533 1714409 DEBUG nova.cmd.compute [-] cert                           = self.pem [00;33m{{(pid=1714409) log_opt_values /opt/stack/data/venv/lib/python3.12/site-packages/oslo_config/cfg.py:3549}}[00m
